id,key,value,type
124577,type,multipolygon,regular
124577,building,yes,regular
124716,type,multipolygon,regular
124716,amenity,parking,regular
124716,parking,surface,regular
148838,admin_level,2,regular
148838,vi,Hoa Kì;Mỹ;Mĩ,alt_name
148838,border_type,national,regular
148838,boundary,administrative,regular
148838,flag,http://upload.wikimedia.org/wikipedia/commons/a/a4/Flag_of_the_United_States.svg,regular
148838,feature_id,1890467,gnis
148838,ISO3166-1,US,regular
148838,ISO3166-1:alpha2,US,regular
148838,ISO3166-1:alpha3,USA,regular
148838,ISO3166-1:numeric,840,regular
148838,name,United States of America,regular
148838,ab,Америка Еиду Аштатқәа,name
148838,ace,Amirika Carékat,name
148838,af,Verenigde State van Amerika,name
148838,als,Vereinigte Schtaate vo Amerika,name
148838,am,የተባበሩት የአሜሪካ ግዛቶች,name
148838,an,Estatos Unitos d'America,name
148838,ang,Geānlǣtan Rīcu American,name
148838,ar,الولايات المتّحدة الأمريكيّة,name
148838,arc,ܐܬܪܘܬܐ ܡܚܝܕܐ ܕܐܡܪܝܟܐ,name
148838,arz,امريكا,name
148838,as,মাৰ্কিন যুক্তৰাষ্ট্ৰ,name
148838,ast,Estaos Xuníos d'América,name
148838,av,Америкалъул Цолъарал Штатал,name
148838,ay,Istadus Unidus,name
148838,az,Amerika Birləşmiş Ştatları,name
148838,ba,Америка Ҡушма Штаттары,name
148838,bar,Vaeinigtn Staatn vo Amerika,name
148838,bat-smg,JAV,name
148838,bcl,Estados Unidos,name
148838,be,Злучаныя Штаты Амерыкі,name
148838,be-tarask,Злучаныя Штаты Амэрыкі,name
148838,bg,Съединени американски щати,name
148838,bi,Yunaeted Stet blong Amerika,name
148838,bm,Amerika ka Kelenyalen Jamanaw,name
148838,bn,মার্কিন যুক্তরাষ্ট্র,name
148838,bo,ཨ་མེ་རི་ཁ་རྒྱལ་ཕྲན་མཉམ་འབྲེལ་རྒྱལ་ཁབ།,name
148838,bpy,তিলপারাষ্ট্র,name
148838,br,Stadoù-Unanet Amerika,name
148838,bs,Sjedinjene Američke Države,name
148838,bxr,Американ Нэгэдэһэн Улас,name
148838,ca,Estats Units d'Amèrica,name
148838,cbk-zam,Estados Unidos de America,name
148838,cdo,Mī-lé-giĕng Hăk-cé̤ṳng-guók,name
148838,ce,Iамерка пачхьалк,name
148838,ceb,Estados Unidos sa Amerika,name
148838,chr,ᏌᏊᎢᏳᎾᎵᏍᏔᏅᏍᎦᏚᎩ ᎾᎿ ᎠᎺᏰᏟ,name
148838,chy,United States,name
148838,ckb,وڵاتە یەکگرتووەکان,name
148838,co,Stati Uniti d'America,name
148838,crh,Amerika Qoşma Ştatları,name
148838,cs,Spojené státy americké,name
148838,csb,Zjednóné Kraje Americzi,name
148838,cu,Амєрика́ньскꙑ Ѥдьнѥнꙑ́ Дрьжа́вꙑ,name
148838,cv,Америкăри Пĕрлешӳллĕ Штатсем,name
148838,cy,Unol Daleithiau America,name
148838,da,Amerikas Forenede Stater,name
148838,de,Vereinigte Staaten von Amerika,name
148838,diq,Dewletê Amerikayê Yewbiyayey,name
148838,dsb,Zjadnośone staty Ameriki,name
148838,dv,އެމެރިކާ,name
148838,dz,ཡུ་ནའིཊེཊ་སི་ཊེས,name
148838,ee,United States,name
148838,el,Ηνωμένες Πολιτείες της Αμερικής,name
148838,eml,Stat Unî,name
148838,en,United States of America,name
148838,eo,Usono,name
148838,es,Estados Unidos de América,name
148838,et,Ameerika Ühendriigid,name
148838,eu,Ameriketako Estatu Batuak,name
148838,ext,Estaus Uñíus d'América,name
148838,fa,ایالات متحده آمریکا,name
148838,ff,Dowlaaji Dentuɗi,name
148838,fi,Amerikan yhdysvallat,name
148838,fiu-vro,Ameeriga Ütisriigiq,name
148838,fo,Sambandsríkið Amerika,name
148838,fr,États-Unis d'Amérique,name
148838,frp,Ètats-Unis d’Amèrica,name
148838,frr,Feriind Stoote foon Ameerika,name
148838,fur,Stâts Unîts di Americhe,name
148838,fy,Feriene Steaten fan Amearika,name
148838,ga,Stáit Aontaithe Mheiriceá,name
148838,gag,Amerika Birleşik Devletläri,name
148838,gan,美國,name
148838,gd,Na Stàitean Aonaichte,name
148838,gl,Estados Unidos de América,name
148838,glk,امریکا,name
148838,gn,Tetã peteĩ reko Amérikagua,name
148838,gu,સંયુક્ત રાજ્ય અમેરિકા,name
148838,gv,Steatyn Unnaneysit America,name
148838,ha,kunkiyar taraiyar Amurika,name
148838,hak,Mî-li-kiên Ha̍p-chung-koet,name
148838,haw,‘Amelika Hui Pū ‘ia,name
148838,he,ארצות הברית,name
148838,hi,संयुक्त राज्य अमेरिका,name
148838,hif,United States,name
148838,hr,Sjedinjene Američke Države,name
148838,hsb,Zjednoćene staty Ameriki,name
148838,ht,Etazini,name
148838,hu,Amerikai Egyesült Államok,name
148838,hy,Ամերիկայի Միացյալ Նահանգներ,name
148838,ia,Statos Unite de America,name
148838,id,Amerika Serikat,name
148838,ie,Unit States de America,name
148838,ig,Njikota Obodo Amerika,name
148838,ik,United States of America,name
148838,ilo,stados Unidos iti Amerika,name
148838,io,Unionita Stati di Amerika,name
148838,is,Bandaríki Norður-Ameríku,name
148838,it,Stati Uniti d'America,name
148838,iu,ᐊᒥᐊᓕᑲ,name
148838,ja,アメリカ合衆国,name
148838,jbo,.iunaited.steits.,name
148838,jv,Amérika Sarékat,name
148838,ka,ამერიკის შეერთებული შტატები,name
148838,kaa,Amerika Qurama Shtatları,name
148838,kab,Iwunak Yedduklen,name
148838,kbd,Америкэ Штат Зэгуэт,name
148838,ki,United States,name
148838,kk,Америка Құрама Штаттары,name
148838,kl,Naalagaaffeqatigiit,name
148838,km,សហរដ្ឋអាមេរិក,name
148838,kn,ಅಮೇರಿಕ ಸಂಯುಕ್ತ ಸಂಸ್ಥಾನ,name
148838,ko,미국,name
